job_title,company_name,location,start_date,ctc,experience,posted
SME: Physics,Straive,Work from home,Start Immediately,"3,00,000",0-2 years,3 weeks ago
SME: Statistics,Straive,Work from home,Start Immediately,"3,00,000",0-2 years,3 weeks ago
SME: Mathematics,Straive,Work from home,Start Immediately,"3,00,000",0-2 years,3 weeks ago
SME: Chemistry,Straive,Work from home,Start Immediately,"3,00,000",0-2 years,3 weeks ago
Senior Social Media Marketing Manager,Valkyre Clothing,Mumbai,Start Immediately,"2,50,000 - 3,50,000",1-3 years,"Just now


Be an early applicant"
Graphic Designer,Marcamor Consulting,Hyderabad,Start Immediately,"3,50,000 - 5,00,000",1-3 years,"Just now


Be an early applicant"
Academic Counselor - Inside Sales,DataTrained Education Private Limited,"Noida, Greater Noida, Faridabad, Delhi, Ghaziabad",Start Immediately,"2,50,000 - 5,00,000",0-2 years,"Just now


Be an early applicant"
Sales Executive,Gainers Realtors LLP,Gurgaon,Start Immediately,"2,00,000 - 4,20,000",0-5 years,"Just now


Be an early applicant"
STEM Trainer,Robokidz Eduventures Private Limited,"Pune, Jodhpur, Jaipur, Udaipur, Shillong",Start Immediately,"2,40,000 - 3,00,000",0-2 years,"Just now


Be an early applicant"
Business Development (Sales) Associate,Bosscoder Academy,Work from home,Start Immediately,"3,00,000 - 6,00,000",0-2 years,"Just now


Be an early applicant"
Mobile Application Developer - React Native,Guruji Astro,Jaipur,Start Immediately,"5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
Senior Front End Developer,Guruji Astro,Jaipur,Start Immediately,"5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
Customer Care Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",1-5 years,Few hours ago
Digital Marketing Associate - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"4,00,000 - 6,00,000",1-4 years,Few hours ago
Performance Marketing Associate,IIDE Education Private Limited,Work from home,Start Immediately,"5,00,000 - 7,00,000",2-4 years,"Few hours ago


Be an early applicant"
Junior Search Engine Optimization (SEO) Executive,Comit Solution,Work from home,Start Immediately,"2,00,000 - 3,00,000",1-2 years,"Few hours ago


Be an early applicant"
Product Marketing Associate,IIDE Education Private Limited,Work from home,Start Immediately,"4,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
Paid Media Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"5,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
Content Strategist - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",1-4 years,"Few hours ago


Be an early applicant"
Associate Graphic Designer,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",1-3 years,Few hours ago
Junior Search Engine Optimization (SEO) Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 6,00,000",0-3 years,Few hours ago
Remote Marketing Consultant,IIDE Education Private Limited,Work from home,Start Immediately,"5,00,000 - 6,00,000",2-5 years,"Few hours ago


Be an early applicant"
Marketing Coordinator - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",1-3 years,"Few hours ago


Be an early applicant"
Content Marketing Specialist,IIDE Education Private Limited,Work from home,Start Immediately,"4,00,000 - 5,00,000",1-5 years,"Few hours ago


Be an early applicant"
Video Editor - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 4,00,000",0-3 years,"Few hours ago


Be an early applicant"
Video Marketing Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"5,00,000 - 7,00,000",2-5 years,"Few hours ago


Be an early applicant"
Business Development Associate,Nixio Tech,Work from home,Start Immediately,"4,50,000 - 6,50,000",0-4 years,Few hours ago
E-commerce Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"4,00,000 - 6,00,000",0-5 years,"Few hours ago


Be an early applicant"
Copywriter - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",0-5 years,Few hours ago
Digital Marketing Executive,IIDE Education Private Limited,Work from home,Start Immediately,"2,50,000 - 4,50,000",0-2 years,Few hours ago
Telesales Executive,NetPaisa,Noida,Start Immediately,"2,00,000 - 3,00,000",0-2 years,1 week ago
Instagram Marketing Specialist - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 4,50,000",0 years,Few hours ago
Social Media Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",0-4 years,"Few hours ago


Be an early applicant"
Social Media Marketing Associate - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
Marketing Executive - Remote,IIDE Education Private Limited,Work from home,Start Immediately,"3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
Team Lead - Telecalling,MAG Finserv,Pune,Start Immediately,"2,00,000 - 2,40,000",1-2 years,"Today


Be an early applicant"
Internal Auditor,MAG Finserv,Pune,Start Immediately,"3,00,000 - 3,50,000",0-3 years,"Today


Be an early applicant"
HR Manager,MAG Finserv,Pune,Start Immediately,"5,00,000 - 6,00,000",4-5 years,"Today


Be an early applicant"
Event Executive - Exhibition,Peppermint Communications Private Limited,"Thane, Bhiwandi, Kalyan, Ambernath, Dombivli, Karjat, Ulhasnagar",Start Immediately,"2,00,000 - 2,40,000",0-3 years,"2 days ago


Be an early applicant"
Event Management Executive,Breakout,Koramangala,Start Immediately,"2,40,000 - 3,00,000",0-1 years,"3 days ago


Be an early applicant"
Marketing Executive,Right Health & Pharmaceuticals,Mumbai,Start Immediately,"3,00,000 - 8,00,000",1-5 years,"1 day ago


Be an early applicant"
